order_id,customer_id,product_id,order_date,quantity,discount_pct,payment_mode
1001,7,20,2023-01-01,b'\x03\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',Credit Card
1002,7,19,2023-01-05,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',UPI
1003,8,3,2023-01-10,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Debit Card
1004,30,6,2023-01-14,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x05\x00\x00\x00\x00\x00\x00\x00',Debit Card
1005,26,12,2023-01-19,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1006,20,3,2023-01-24,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',UPI
1007,7,18,2023-01-28,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1008,26,2,2023-02-02,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',Debit Card
1009,8,15,2023-02-06,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1010,8,4,2023-02-11,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\n\x00\x00\x00\x00\x00\x00\x00',UPI
1011,4,18,2023-02-16,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1012,4,14,2023-02-20,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',Credit Card
1013,28,8,2023-02-25,b'\x02\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',Credit Card
1014,24,13,2023-03-01,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x00\x00\x00\x00\x00\x00\x00\x00',UPI
1015,9,1,2023-03-06,b'\x01\x00\x00\x00\x00\x00\x00\x00',b'\x0f\x00\x00\x00\x00\x00\x00\x00',UPI
